APO_AB_1	APO_AB_2	APO_AB_3	APO_AB_4	APO_AB_5	APO_AB_6	APO_Aip_3D_1	APO_Aip_3D_2	APO_Aip_3D_3	APO_Aip_3D_4	APO_Aip_3D_5	APO_Aip_3D_6	APO_Aip_7D_1	APO_Aip_7D_2	APO_Aip_7D_3	APO_Aip_7D_4	APO_Aip_7D_5	APO_Aip_7D_6	APO_CA_3D_1	APO_CA_3D_2	APO_CA_3D_3	APO_CA_3D_4	APO_CA_3D_5	APO_CA_3D_6	APO_CA_7D_1	APO_CA_7D_2	APO_CA_7D_3	APO_CA_7D_4	APO_CA_7D_5	APO_CA_7D_6	APO_CB_3D_1	APO_CB_3D_2	APO_CB_3D_3	APO_CB_3D_4	APO_CB_3D_5	APO_CB_3D_6	APO_CB_7D_1	APO_CB_7D_2	APO_CB_7D_3	APO_CB_7D_4	APO_CB_7D_5	APO_CB_7D_6	APO_C_1	APO_C_2	APO_C_3	APO_C_4	APO_C_5	APO_C_6	APO_water	Inoc_A	Inoc_APO	Inoc_B	Inoc_SYM	SYM_AB_1	SYM_AB_2	SYM_AB_3	SYM_AB_4	SYM_AB_5	SYM_AB_6	SYM_Aip_3D_1	SYM_Aip_3D_2	SYM_Aip_3D_3	SYM_Aip_3D_4	SYM_Aip_3D_5	SYM_Aip_3D_6	SYM_Aip_7D_1	SYM_Aip_7D_2	SYM_Aip_7D_3	SYM_Aip_7D_4	SYM_Aip_7D_5	SYM_Aip_7D_6	SYM_CA_3D_1	SYM_CA_3D_2	SYM_CA_3D_3	SYM_CA_3D_4	SYM_CA_3D_5	SYM_CA_3D_6	SYM_CA_7D_1	SYM_CA_7D_2	SYM_CA_7D_3	SYM_CA_7D_4	SYM_CA_7D_5	SYM_CA_7D_6	SYM_CB_3D_1	SYM_CB_3D_2	SYM_CB_3D_3	SYM_CB_3D_4	SYM_CB_3D_5	SYM_CB_3D_6	SYM_CB_7D_1	SYM_CB_7D_2	SYM_CB_7D_3	SYM_CB_7D_4	SYM_CB_7D_5	SYM_CB_7D_6	SYM_C_1	SYM_C_2	SYM_C_3	SYM_C_4	SYM_C_5	SYM_C_6	SYM_water	Slurry_A	Slurry_APO	Slurry_Sym
Otu0001	0.00264637777042673	0.00251335218347471	0.00409507700525238	0.00119904076738609	0.00448110805581016	0.0131700792262578	0.0907446487790172	0.0742370085235084	0.0347826086956522	0.041958041958042	0.0816518557239937	0.0670021186440678	0.0874843554443054	0.086779409949389	0.0879156010230179	0.0640433647861875	0.151651039543416	0.05103668261563	0.0546835443037975	0.110729613733906	0.0724872876771611	0.00575043128234618	0.0234500481850305	0.0487569859317788	0.111696522655427	0.0447552447552448	0.15587909479348	0.0484164543137969	0.0692787177203918	0.146537303445969	0.0740250183958793	0.039612676056338	0.0531748514232093	0.0378246753246753	0.0347272727272727	0.0160178804246601	0.0783756684491979	0.031644377472217	0.043412348401323	0.0573380252535707	0.0479315263908702	0.0426821058300794	0	0.000247096614776378	0	0	0.000795544948289578	0	0.0077871209412935	0.199389623601221	0.314799175488803	0.234207629450866	0.2582460379278	0.047739221871714	0.00302332277569824	0.005783212161269	0.00148604182146269	0.000528038863660365	0	0.026955816781516	0.0332009080590238	0.102544480581596	0.0263266145619087	0.01287284144427	0.0896961903230992	0.106623586429725	0.0117647058823529	0.00535601764335224	0.0177141096734442	0.0270857288871854	0.0546697038724374	0.0506329113924051	0.0559687616214206	0.0442000415023864	0.0293504171632896	0.0837763519706691	0.0715810211787884	0.0627832577979206	0.0105913503971756	0.00661862038535079	0.00477073946461702	0.00462962962962963	0.0261705685618729	0.049701468452477	0	0.00226244343891403	0.0042092603728202	0.0402451142762504	0.000754147812971342	0.0747172859450727	0.0776287932251235	0.0560144553433144	0.0103550295857988	0.0319398778769375	0.0779076238174736	0.00711439954467843	0.139687158966897	0.00121600707495025	0.122146715455654	0.0586403736377789	0.168235068177453	0.00451708874537407	0.00747104747977451	0.069551461958463	0.232326663220852
Otu0002	0.000330797221303341	0	0.000890234131576605	0.00119904076738609	0.000101843364904776	0.00133758617141681	0.349713596623455	0.447071762441573	0.342028985507246	0.499156016397396	0.401881860951385	0.475503177966102	0.470713391739675	0.375015430193803	0.373721227621483	0.584621561935354	0.28563663541242	0.563681932102985	0.198481012658228	0.326824034334764	0.44888023369036	0.35365152386429	0.389495663347253	0.534785122374253	0.33245521601686	0.600127145581691	0.352903940496914	0.499453949763378	0.416384683882458	0.334894613583138	0.408977189109639	0.419014084507042	0.360494213324992	0.535551948051948	0.440909090909091	0.2678338610542	0.423295454545455	0.512431719721228	0.453693495038589	0.394535292900021	0.534664764621969	0.464117409451999	0	0	0	0	0	0	0	0	0.0100982609217715	0.0517380075363055	0.0504458821472285	0.0605678233438486	0	0.00413086582947786	0.00191062519902346	0.000211215545464146	0.000704349357281212	0.348398865018241	0.240068104426788	0.20795867610484	0.412998765939942	0.394505494505494	0.386111557627391	0.409693053311793	0.735588235294118	0.70741440873766	0.703943314849045	0.570844512584643	0.528473804100228	0.241543888773604	0.426924507251766	0.250881925710728	0.508194278903456	0.297158570119157	0.386800197011985	0.40415889096241	0.390703147984701	0.533607883512281	0.247283328915982	0.0712081128747795	0.544481605351171	0.415846377279329	0.19170243204578	0.302161890397184	0.259170174383644	0.451473998012587	0.144419306184012	0.369951534733441	0.414079040225829	0.512261228704182	0.536427514792899	0.350868952559887	0.402708217399369	0.103016505406944	0.215714805383776	0.40072960424497	0.117964802230354	0.316035288012455	0.164778183214903	0.000108845511936724	0.00103191263532797	0.00647521237138875	0.0245957321125305
Otu0003	0.00223288124379755	0.00119384228715049	0.00169144484999555	0.00228907782864617	0.00264792748752419	0.004424323490071	0.0774796502864034	0.0582897992851251	0.0347826086956522	0.0333976368459127	0.0640878201777313	0.0523040254237288	0.0638297872340425	0.068263177385508	0.0646845694799659	0.0483838586629191	0.103682565565974	0.0347459557985874	0.049620253164557	0.0860515021459227	0.0602618197554906	0.00517538815411156	0.0170253774494057	0.0343033339757179	0.0748155953635406	0.0306420851875397	0.119639183415097	0.0358572988714962	0.0455921638468388	0.114586818333891	0.0547461368653422	0.0248679577464789	0.0423834845167344	0.0243506493506494	0.0263636363636364	0.0091264667535854	0.0524732620320856	0.0179883217178376	0.0337651598676957	0.041813289174084	0.0322396576319543	0.0284098559310623	0	0	0.000563063063063063	0	0.000397772474144789	0.000196656833824975	0.00470180456036184	0.166263092287192	0.267245692329244	0.18931792201194	0.210395173981465	0.0336487907465825	0.000863806507342355	0.00413086582947786	0.00106145844390192	0.000105607772732073	0	0.0257397648966356	0.0280930760499432	0.0983355653338435	0.0183052241875771	0.00973312401883831	0.0712104163317795	0.0794830371567044	0.00735294117647059	0.00472589792060491	0.0115526802218115	0.0183978535837486	0.0461793331952785	0.052915542643702	0.0474153960580141	0.0354845403610708	0.0227949940405244	0.0762603116406966	0.0607453620095222	0.0434550786456945	0.000588408355398647	0.000147080453007795	0	0.00396825396825397	0.017056856187291	0.0413103114410198	0.00238435860753457	0.000502765208647562	0	0.0311361377939715	0.000377073906485671	0.052907915993538	0.0691601976005646	0.0477542591636551	0.00850591715976331	0.0171441991545326	0.0606566499721758	0.00711439954467843	0.103855947617315	0	0.0970552361038508	0.0474831344058121	0.139043595160361	0.00295696974094768	0.00439299950468193	0.0384161915223329	0.141792808092742
Otu0004	0	0	0	0	0.000407373459619106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000470366886171214	0	0.000393313667649951	0.000116573666785831	0	0.00431467509856111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379878230556234	5.90711068448645e-05
Otu0005	0.299206086668872	0.304178448005027	0.280601798272946	0.308480488336603	0.307261431917711	0.284597180779916	0	0	0	0	0.000209095661265029	0	0	0	0	0	0.00013588802826471	0	0	0.00107296137339056	0	0	0	0.000578146078242436	0	0	0.000158252888115208	0	0.000178094390026714	0	0	0	0.000469189865498905	0.000324675324675325	0	0	0.000334224598930481	0	0	0	0	0	0	0.000741289844329133	0	0.000470366886171214	0.000198886237072395	0	0.392021698245178	0.00283696072672044	0.0195921471312214	0.00795969346712392	0.0111629496574417	0.179705573080967	0.237114886265477	0.235789821546596	0.269398153062308	0.23128102228324	0.26184187356929	0	0	0.000382628658886551	0.000205676676264912	0	0.000642983443176338	0	0	0	0	0	0.00020708221163802	0.000207511931936086	0	0	0.000148986889153754	0	0	0	0.00117681671079729	0	0	0	0.000334448160535117	0	0	0.000251382604323781	0.000601322910402886	0	0	0	0	0	0.000369822485207101	0	0	0	0	0.00011054609772275	0	0	0	0.00435382047746898	0.0017218199400901	0.0204918583134368	0.0101897659307391
Otu0006	0	0	0	0	0	0	0.132951462164607	0.139675556777564	0.0811594202898551	0.120207378828068	0.135284892838474	0.135460805084746	0.163704630788486	0.154178496481916	0.169650468883205	0.134310379441879	0.156814784617475	0.11950330371383	0.0946835443037975	0.137768240343348	0.141404305961268	0.0184013801035078	0.0581432701574044	0.0890344960493351	0.152441166139796	0.11290527654164	0.149232473492641	0.108663997087732	0.114514692787177	0.164603546336567	0.144518027961737	0.0820862676056338	0.0863309352517986	0.0926948051948052	0.0730909090909091	0.0372508847085118	0.145889037433155	0.0855151629308721	0.0895810363836825	0.122334920306355	0.128102710413695	0.0949239262151609	0	0	0	0	0.00139220365950676	0	7.77157778572206e-06	0.0618543406931927	0.0193560007204467	0.062460307379652	0.117383840150058	0	0	0	0	0	0	0.0593838670449939	0.0459704880817253	0.0985268796632868	0.0516248457424928	0.0373626373626374	0.117987461822858	0.145234248788368	0.0407843137254902	0.0258349086326402	0.0593037584719655	0.0760189089050722	0.130668875543591	0.088815106868645	0.106917069542581	0.0634986511724424	0.0688319427890346	0.112007332722273	0.112461008044656	0.130365235937083	0.0288320094145337	0.0311810560376526	0.00980652001060164	0.00661375661375661	0.057943143812709	0.0945618847829595	0	0.00628456510809452	0.010823812387252	0.0854587611791984	0	0.0999596122778675	0.129322512350035	0.128033040784719	0.0279215976331361	0.0500234852043213	0.120200333889816	0.0404097894137735	0.171153146598763	0.0103913331859385	0.171806935006099	0.140114167099118	0.16938736316497	0	0	0	0
Otu0007	0.00215018193847172	0.000502670436694942	8.90234131576605e-05	0	0	0.000720238707685976	0.0949653301175761	0.127027770140225	0.0666666666666667	0.160356884494816	0.076424464192368	0.108315677966102	0.0614518147684606	0.108752005925194	0.155264279624893	0.0479823328648866	0.0888707704851203	0.12531328320802	0.0425316455696203	0.0251072961373391	0.0904468246240398	0.031627372052904	0.0782203662062319	0.0165735209096165	0.016157358623112	0.0172917991099809	0.0106029435037189	0.0140152894066254	0.0122885129118433	0.015389762462362	0.059896983075791	0.122579225352113	0.0428526743822333	0.0525974025974026	0.0650909090909091	0.0113615198360961	0.0115307486631016	0.0381427764174044	0.0205347298787211	0.0182156903332643	0.0232524964336662	0.0156186885687357	0.297632468996618	0.216456634544107	0.358858858858859	0.226246472248354	0.274661893396977	0.0458210422812193	0.00284439746957427	0.00606077973435731	0.00220936980928175	0.00942038189593124	0.140655550080275	0.0875920084121977	0.00215951626835589	0.0114011896893589	0	0.000316823318196219	0.0114456770558197	0.0149979732468585	0.00283768444948922	0.00248708628276258	0.00514191690662279	0.00188383045525903	0.00498312168461662	0.0253634894991922	0.000784313725490196	0.0241545893719807	0.0186383240911892	0.0470167369362463	0.0327189894388072	0.0182610500103756	0.0351431759018222	0.0392197551359203	0.0585518474374255	0.0331805682859762	0.05467082580857	0.0523860303918955	0.029126213592233	0.0588321812031181	0.00821627352239597	0.00396825396825397	0.0289297658862876	0.0863320961755688	0	0.0372046254399196	0.047504509921828	0.0639284531301756	0.0184766214177979	0.0246365105008078	0.0178193366266761	0.0215539494062984	0.0284763313609467	0.0263034288398309	0.034687442033018	0.595048377916904	0.278283012004365	0.431240327216449	0.286809548701864	0.233523611831863	0.211446130209334	0.000108845511936724	5.89664363044555e-05	0	0.0853872849442516
Otu0008	0	0	0.000267070239472981	0	0	0.000617347463730836	0	0.000549903766840803	0	0	0.000209095661265029	0	0	0	0	0	0.00027177605652942	0	0	0	0.000324569944823109	0	0	0.000192715359414145	0	0	0	0	0	0.000669120107059217	0	0	0.000312793243665937	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0.000198886237072395	0	0.37757433514152	2.86561689567722e-05	0.0443394904841001	0.0246200093145349	0.0250083453877824	0	0	0.000165234633179114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81409186561207e-05	0.00157440384932896	0.034460161732596	0.0118511408107509
Otu0009	0.53117763810784	0.532642161482878	0.559601175109054	0.544800523217789	0.519299317649455	0.522687519292108	0.000602954476936991	0.000274951883420401	0	0.000602845430431637	0.000313643491897543	0	0.000125156445556946	0	0	0	0.00027177605652942	0.000227842333105491	0.0010126582278481	0.000858369098712446	0.000216379963215406	0	0	0.000385430718828291	0	0.000254291163382072	0	0.000364033491081179	0	0.00100368016058883	0	0	0.000312793243665937	0	0.000181818181818182	0	0.000167112299465241	0	0.000137816979051819	0	0.000427960057061341	0	0	0	0.00168918918918919	0.00282220131702728	0.00178997613365155	0	0.000660584111786375	0	0.00541936000320199	0.00248740420847623	0.00226120268959926	0.444584647739222	0.538151454074287	0.53354263053536	0.532533701305594	0.545358538388425	0.412044374009509	0.000405350628293474	0.000567536889897843	0.000956571647216377	0	0.000627943485086342	0.00273267963349944	0	0.000392156862745098	0.000315059861373661	0.000308071472581639	0	0	0	0.000185942729639271	0	0.000893921334922527	0	0.00147758988671811	0.000133297787256732	0.00088261253309797	0	0.0021203286509409	0.000661375661375661	0.000585284280936455	0.000484105212199451	0.000953743443013829	0.000754147812971342	0.00300661455201443	0.00264988406757204	0.000754147812971342	0	0	0	0.000739644970414201	0.000234852043212776	0.000741977369690224	0	0	0.00011054609772275	0	0	0	0.000163268267905087	0.00396844116328986	0.0464571644961769	0.016805729897364
Otu0010	0	0	0	0	0	0	0	0	0	0	0.000104547830632514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55431555714441e-05	0.00959981660051868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.455633653324528	2.68569571604676e-06	0
