APO_AB_1	APO_AB_2	APO_AB_3	APO_AB_4	APO_AB_5	APO_AB_6	APO_Aip_3D_1	APO_Aip_3D_2	APO_Aip_3D_3	APO_Aip_3D_4	APO_Aip_3D_5	APO_Aip_3D_6	APO_Aip_7D_1	APO_Aip_7D_2	APO_Aip_7D_3	APO_Aip_7D_4	APO_Aip_7D_5	APO_Aip_7D_6	APO_CA_3D_1	APO_CA_3D_2	APO_CA_3D_3	APO_CA_3D_4	APO_CA_3D_5	APO_CA_3D_6	APO_CA_7D_1	APO_CA_7D_2	APO_CA_7D_3	APO_CA_7D_4	APO_CA_7D_5	APO_CA_7D_6	APO_CB_3D_1	APO_CB_3D_2	APO_CB_3D_3	APO_CB_3D_4	APO_CB_3D_5	APO_CB_3D_6	APO_CB_7D_1	APO_CB_7D_2	APO_CB_7D_3	APO_CB_7D_4	APO_CB_7D_5	APO_CB_7D_6	APO_C_1	APO_C_2	APO_C_3	APO_C_4	APO_C_5	APO_C_6	APO_water	Inoc_A	Inoc_APO	Inoc_B	Inoc_SYM	SYM_AB_1	SYM_AB_2	SYM_AB_3	SYM_AB_4	SYM_AB_5	SYM_AB_6	SYM_Aip_3D_1	SYM_Aip_3D_2	SYM_Aip_3D_3	SYM_Aip_3D_4	SYM_Aip_3D_5	SYM_Aip_3D_6	SYM_Aip_7D_1	SYM_Aip_7D_2	SYM_Aip_7D_3	SYM_Aip_7D_4	SYM_Aip_7D_5	SYM_Aip_7D_6	SYM_CA_3D_1	SYM_CA_3D_2	SYM_CA_3D_3	SYM_CA_3D_4	SYM_CA_3D_5	SYM_CA_3D_6	SYM_CA_7D_1	SYM_CA_7D_2	SYM_CA_7D_3	SYM_CA_7D_4	SYM_CA_7D_5	SYM_CA_7D_6	SYM_CB_3D_1	SYM_CB_3D_2	SYM_CB_3D_3	SYM_CB_3D_4	SYM_CB_3D_5	SYM_CB_3D_6	SYM_CB_7D_1	SYM_CB_7D_2	SYM_CB_7D_3	SYM_CB_7D_4	SYM_CB_7D_5	SYM_CB_7D_6	SYM_C_1	SYM_C_2	SYM_C_3	SYM_C_4	SYM_C_5	SYM_C_6	SYM_water	Slurry_A	Slurry_APO	Slurry_Sym
Otu0011	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	9632	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	61890	0	0
Otu0012	1	32	15	9	10	25	0	0	34	0	1	0	1	0	1	0	0	0	222	56	2	55	361	167	24	79	43	28	39	58	45	42	94	52	97	1833	10	21	18	33	27	3	0	2	0	1	0	0	7	3025	10111	9590	2327	5	5	3	0	7	4	107	638	433	262	180	132	36	55	18	24	9	28	617	172	598	199	345	105	34	37	9	84	559	42	125	182	532	38	98	32	40	1	24	4	10	13	3	0	6	7	0	2	2	188	4836	845
Otu0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	134	0	3	0	3	3	14	7	6	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	13	2	2	2	23458	0	171	59
Otu0014	0	0	3	2	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2243	0	23	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19574	2	0
Otu0015	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3403	384	9739	1827	5429	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	2	0	0	0	0	0	0
Otu0016	3	0	0	5	1	4	0	1	0	3	0	0	0	6	1	0	8	4	0	0	3	0	0	1	0	8	2	7	0	31	0	0	1	0	0	0	0	1	0	3	0	4	0	1	15	4	29	25	0	0	104	1	20	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	8	20	0	0	0	0	1	0	0	0	0	1	0	3	0	2	0	2	1	1	264	0	15448	2727
Otu0017	0	0	0	0	0	11	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	3225	8351	4387	1998	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	13	0	2	8	5	0	0	0	0	2	0	0	0	0	0	4	0	0	2	0	0	0	0	0
Otu0018	0	0	4	3	10	13	0	0	14	0	0	0	0	0	0	0	0	0	32	263	0	215	164	217	144	73	123	259	175	231	195	247	403	225	472	269	61	515	510	174	313	252	0	0	0	0	0	0	0	0	0	1341	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	152	209	172	228	229	663	379	636	943	1420	693	324	42	231	169	383	286	633	245	305	714	241	391	0	0	0	0	0	0	1	78	0	0
Otu0019	0	0	0	0	0	0	0	182	14	286	526	383	517	466	501	238	0	349	0	278	455	18	154	161	398	330	0	245	300	0	384	142	198	221	154	8	350	321	258	215	297	277	0	0	0	0	0	0	0	0	1891	0	0	0	0	0	0	0	0	96	1	0	2	84	316	460	110	80	123	193	225	169	250	161	186	256	247	326	34	61	11	23	211	177	0	4	2	155	0	286	351	384	65	109	258	1	0	24	12	318	0	0	0	0	0
Otu0020	1596	1914	1186	893	1081	1214	0	0	0	0	3	0	0	6	0	0	0	0	0	0	3	0	0	0	0	2	6	3	0	9	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	74	0	69	11	29	1015	1126	942	1637	1651	1557	0	0	1	4	2	4	0	0	0	0	0	1	4	0	0	0	2	0	0	2	0	0	9	2	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	29	3	111	22
Otu0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	2675	7085	4131	1934	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	1	0	0	152	0	2	0	3	0	0	0	0	0	21	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0022	2	0	0	0	0	0	0	0	58	0	0	1	1	0	0	2	0	0	146	95	0	101	458	229	87	164	64	113	78	77	142	119	123	103	246	945	84	59	77	96	98	39	2	0	1	0	2	0	0	7	2	3125	2116	0	3	0	0	0	0	141	329	331	317	324	157	79	152	36	67	41	80	564	322	411	389	358	197	103	77	34	155	284	75	264	144	458	33	157	79	105	73	111	19	33	50	6	3	18	20	10	3	0	0	0	1
Otu0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	15124	6
Otu0024	0	0	0	0	6	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	23	0	28	0	0	40	33	0	0	0	0	0	5	0	9	23	0	0	0	0	0	0	0	0	0	2838	8275	32	2022	0	0	0	0	0	0	0	99	0	0	0	0	29	0	0	0	0	15	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26	15	14	0	0	5	0	4	0	12	0	0	0	0	0	0
Otu0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5401	0	0	0	0	0	0	29	14	20	0	78	72	0	3	2	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7264
Otu0026	0	2	0	0	0	4	235	11	0	107	246	90	8	0	0	0	34	6	0	4	146	151	163	23	127	0	17	0	0	52	0	0	57	13	0	0	1	0	29	0	0	0	56	634	169	313	540	2792	111	0	901	76	67	0	0	0	0	0	34	15	17	4	0	0	1	28	0	216	0	0	0	0	0	27	0	20	17	0	182	0	579	174	160	0	85	126	10	74	245	0	63	0	107	496	0	0	0	0	0	0	0	0	22	2194	170
Otu0027	0	0	0	0	0	0	0	149	13	258	407	305	417	344	424	176	0	292	0	1	388	12	120	151	326	250	0	148	205	0	297	111	0	178	113	45	266	224	211	175	246	184	0	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	0	104	0	1	73	79	0	0	104	49	100	129	174	154	187	107	142	239	218	286	32	39	0	0	185	173	6	13	5	159	0	207	231	310	47	64	235	0	0	12	0	229	0	0	0	0	0
Otu0028	0	3	11	8	9	26	12	19	0	11	22	16	37	296	50	43	778	31	0	0	12	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	33	45	48	16	11	510	340	304	467	181	358	667	1163	0	14	0	77	10	3	1	4	4	6	62	14	0	0	0	102	9	35	28	28	48	24	0	0	0	1	0	0	0	1	0	0	0	6	0	0	12	0	0	4	0	0	15	293	124	38	26	7	58	9	35	12	1988	1	2260	1092
Otu0029	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3665	0	7814	18
